github.com/AlDanial/cloc v 2.08  T=13.35 s (354.8 files/s, 95394.0 lines/s)
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                  blank        comment           code
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/dialects/oracle/cx_oracle.py                                                                    312            496            747
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/_stan_builtins.py                                                                            7              8            746
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/ext/asyncio/session.py                                                                          518            683            746
./backend/.venv/lib/python3.11/site-packages/pip/_vendor/rich/table.py                                                                                  119            144            743
./backend/.venv/lib/python3.11/site-packages/pip/_internal/index/package_finder.py                                                                      157            230            738
./backend/.venv/lib/python3.11/site-packages/pip/_vendor/rich/syntax.py                                                                                 111            138            736
./backend/.venv/lib/python3.11/site-packages/pip/_vendor/urllib3/packages/six.py                                                                        218            123            735
./backend/.venv/lib/python3.11/site-packages/_pytest/capture.py                                                                                         240            171            733
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/orm/events.py                                                                                   744           1779            729
./backend/.venv/lib/python3.11/site-packages/psycopg2/extras.py                                                                                         303            315            722
./backend/.venv/lib/python3.11/site-packages/asyncpg/protocol/codecs/base.pyx                                                                           162             39            721
./backend/.venv/lib/python3.11/site-packages/fastapi/params.py                                                                                           36              0            718
./backend/.venv/lib/python3.11/site-packages/setuptools/_distutils/compilers/C/base.py                                                                  174            495            717
./backend/.venv/lib/python3.11/site-packages/websockets/legacy/protocol.py                                                                              329            592            714
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/sql.py                                                                                     176            233            702
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/haxe.py                                                                                    153             88            700
./backend/.venv/lib/python3.11/site-packages/setuptools/dist.py                                                                                         176            248            700
./backend/.venv/lib/python3.11/site-packages/asyncpg/pool.py                                                                                            223            328            697
./backend/.venv/lib/python3.11/site-packages/pip/_vendor/rich/traceback.py                                                                               95            108            696
./backend/.venv/lib/python3.11/site-packages/sqlglot/optimizer/qualify_columns.py                                                                       210            127            694
./backend/.venv/lib/python3.11/site-packages/alembic/ddl/impl.py                                                                                        129            100            692
./backend/.venv/lib/python3.11/site-packages/openai/resources/images.py                                                                                 337            823            692
./backend/.venv/lib/python3.11/site-packages/setuptools/msvc.py                                                                                         245            620            692
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/testing/assertions.py                                                                           208             94            692
